lat,lon,alt,date,device,os,version
53.5680160522,-1.80307281017,177.50668335,2013-01-18 12:07:28,"iPhone3,1",6.0.1,1.1
53.5653381348,-1.77539932728,200.727813721,2013-01-18 12:20:16,"iPhone3,1",6.0.1,1.1
53.5690422058,-1.80517208576,195.429656982,2013-01-18 12:26:40,"iPhone3,1",6.0.1,1.1
53.5687446594,-1.79190564156,192.270339966,2013-01-18 12:30:56,"iPhone3,1",6.0.1,1.1
53.5919914246,-1.85092294216,182.782012939,2013-01-18 13:26:24,"iPhone3,1",6.0.1,1.1
53.5690422058,-1.80517709255,191.315338135,2013-01-18 13:41:20,"iPhone3,1",6.0.1,1.1
53.5655250549,-1.77691805363,192.337600708,2013-01-18 14:04:48,"iPhone3,1",6.0.1,1.1
53.5688285828,-1.80346095562,192.503417969,2013-01-18 14:17:36,"iPhone3,1",6.0.1,1.1
53.5704956055,-1.78740203381,189.167541504,2013-01-18 14:24:00,"iPhone3,1",6.0.1,1.1
53.561126709,-1.8122202158,174.041183472,2013-01-18 15:53:36,"iPhone3,1",6.0.1,1.1
53.5650367737,-1.77299034595,179.235778809,2013-01-18 16:02:08,"iPhone3,1",6.0.1,1.1
53.5691375732,-1.80488359928,191.709899902,2013-01-18 16:10:40,"iPhone3,1",6.0.1,1.1
53.568069458,-1.79582166672,206.455352783,2013-01-18 16:21:20,"iPhone3,1",6.0.1,1.1
53.5684623718,-1.78771841526,175.997833252,2013-01-18 16:44:48,"iPhone3,1",6.0.1,1.1
53.5678710938,-1.79627788067,155.135726929,2013-01-18 17:55:12,"iPhone3,1",6.0.1,1.1
53.5607833862,-1.8139102459,190.975234985,2013-01-18 18:25:04,"iPhone3,1",6.0.1,1.1
53.5681991577,-1.7985752821,191.529937744,2013-01-18 18:40:00,"iPhone3,1",6.0.1,1.1
53.56483078,-1.77137434483,230.922576904,2013-01-18 19:16:16,"iPhone3,1",6.0.1,1.1
53.5682182312,-1.79854130745,226.463470459,2013-01-18 19:31:12,"iPhone3,1",6.0.1,1.1
53.5648498535,-1.77149653435,220.634262085,2013-01-18 19:39:44,"iPhone3,1",6.0.1,1.1
53.5682182312,-1.79856562614,212.57460022,2013-01-18 19:54:40,"iPhone3,1",6.0.1,1.1
53.5648155212,-1.77128839493,247.288909912,2013-01-18 20:39:28,"iPhone3,1",6.0.1,1.1
53.5689811707,-1.80467200279,185.967468262,2013-01-18 21:13:36,"iPhone3,1",6.0.1,1.1
53.5649795532,-1.772544384,187.284118652,2013-01-18 21:37:04,"iPhone3,1",6.0.1,1.1
53.5690078735,-1.80489063263,242.247924805,2013-01-18 21:49:52,"iPhone3,1",6.0.1,1.1
53.5662994385,-1.78313565254,196.913345337,2013-01-18 22:30:24,"iPhone3,1",6.0.1,1.1
53.5690422058,-1.80517578125,206.046630859,2013-01-18 22:36:48,"iPhone3,1",6.0.1,1.1
53.5667991638,-1.7878357172,193.102294922,2013-01-18 23:25:52,"iPhone3,1",6.0.1,1.1
53.5690383911,-1.80517053604,200.310821533,2013-01-18 23:30:08,"iPhone3,1",6.0.1,1.1
53.5669326782,-1.78804516792,227.10748291,2013-01-19 01:14:40,"iPhone3,1",6.0.1,1.1
53.5690879822,-1.80515813828,229.005157471,2013-01-19 01:18:56,"iPhone3,1",6.0.1,1.1
53.5668754578,-1.78827178478,227.108840942,2013-01-19 04:50:08,"iPhone3,1",6.0.1,1.1
53.5690612793,-1.8049519062,228.888961792,2013-01-19 04:56:32,"iPhone3,1",6.0.1,1.1
53.5669212341,-1.787940979,228.371032715,2013-01-19 05:45:36,"iPhone3,1",6.0.1,1.1
53.5688934326,-1.80496299267,227.020950317,2013-01-19 05:49:52,"iPhone3,1",6.0.1,1.1
53.5654830933,-1.7764903307,226.210861206,2013-01-19 10:05:52,"iPhone3,1",6.0.1,1.1
53.5692176819,-1.80445027351,223.923782349,2013-01-19 10:20:48,"iPhone3,1",6.0.1,1.1
53.5684051514,-1.78775382042,178.039245605,2013-01-19 10:37:52,"iPhone3,1",6.0.1,1.1
53.5678710938,-1.8008607626,177.059310913,2013-01-19 12:58:40,"iPhone3,1",6.0.1,1.1
53.5688667297,-1.78685545921,181.454284668,2013-01-19 13:52:00,"iPhone3,1",6.0.1,1.1
53.5690727234,-1.80504262447,217.247894287,2013-01-19 15:40:48,"iPhone3,1",6.0.1,1.1
53.5652656555,-1.77476406097,227.728530884,2013-01-19 15:47:12,"iPhone3,1",6.0.1,1.1
53.5690879822,-1.80515813828,228.483627319,2013-01-19 15:53:36,"iPhone3,1",6.0.1,1.1
53.5650901794,-1.7733745575,228.943572998,2013-01-19 16:00:00,"iPhone3,1",6.0.1,1.1
